Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
AD,PL,2,1,0.8325581395348837,0.8177592486103125,0.8157142857142857,0.8138489208633093
AD,PL,2,2,0.8674418604651163,0.8546872419244473,0.855206025697829,0.8557364634608102
AD,PL,2,3,0.9046511627906977,0.8981394678012548,0.894896237607235,0.8919680045437335
AD,PL,2,4,0.8441860465116279,0.8351436187439276,0.8254140432313855,0.8183689890193109
AD,PL,2,5,0.8764568764568764,0.8785271317829457,0.8597667404725633,0.8479241877256318
AD,PL,3,1,0.8651162790697674,0.8564651799687011,0.8501237951010793,0.8449924271109428
AD,PL,3,2,0.8813953488372093,0.8671812464265294,0.8725970336546003,0.8799460431654677
AD,PL,3,3,0.8790697674418605,0.8644583787713559,0.8706018518518519,0.8796383945475199
AD,PL,3,4,0.8813953488372093,0.8794099183929693,0.866647207982925,0.8575823551684968
AD,PL,3,5,0.8368298368298368,0.8304901960784313,0.8319642777205782,0.8602864335930078
AD,PL,4,1,0.9046511627906977,0.8961404258349355,0.8955389255263049,0.8949498296099963
AD,PL,4,2,0.8860465116279069,0.8717155229091569,0.8782214670065137,0.88801590306702
AD,PL,4,3,0.8348837209302326,0.8219219804585658,0.8168291585420728,0.8126656569481256
AD,PL,4,4,0.8767441860465116,0.8648332979401147,0.8653670063506129,0.8659125331313897
AD,PL,4,5,0.8671328671328671,0.8643822393822393,0.8502617801047121,0.8407039711191335
AD,NN-UTA,0,1,0.7465116279069768,0.8302801435534843,0.6461546591775569,0.6459201060204468
AD,NN-UTA,0,2,0.641860465116279,0.7296540943929004,0.6412317961165048,0.715567020068156
AD,NN-UTA,0,3,0.8627906976744186,0.8784651461433237,0.8390994133502458,0.8208301779628928
AD,NN-UTA,0,4,0.6651162790697674,0.7496029382568989,0.6647609147609148,0.7380253691783415
AD,NN-UTA,0,5,0.8811188811188811,0.8668617164379876,0.8742882424256354,0.8886447843435303
AD,NN-UTA,1,1,0.8116279069767441,0.7969663541092114,0.8023840999483691,0.8185346459674365
AD,NN-UTA,1,2,0.8558139534883721,0.8579222011385199,0.834598967639468,0.821398144642181
AD,NN-UTA,1,3,0.8302325581395349,0.8211077030172508,0.8243021622196476,0.849323173040515
AD,NN-UTA,1,4,0.7,0.7474556889651229,0.6997255468762686,0.7560583112457402
AD,NN-UTA,1,5,0.9114219114219114,0.9170875420875421,0.8999975462531286,0.8883597757932737
AD,NN-UTA,2,1,0.8674418604651163,0.8561793576878511,0.8620514985225833,0.8855547141234381
AD,NN-UTA,2,2,0.6906976744186046,0.838199513381995,0.5145944202547976,0.5625
AD,NN-UTA,2,3,0.9186046511627907,0.9081320058483604,0.911853765103462,0.9161775842483908
AD,NN-UTA,2,4,0.8441860465116279,0.8278158511873591,0.8330619600298994,0.8407326770162817
AD,NN-UTA,2,5,0.8601398601398601,0.8500730994152046,0.8452678657304991,0.8412264867946038
AD,NN-UTA,3,1,0.8232558139534883,0.8106263648997419,0.8022988505747126,0.7962182885270731
AD,NN-UTA,3,2,0.5534883720930233,0.7094771241830065,0.5440084835630965,0.6516944339265429
AD,NN-UTA,3,3,0.8627906976744186,0.8475630252100841,0.8544388407892547,0.8670484664899659
AD,NN-UTA,3,4,0.9162790697674419,0.9104849530381445,0.9078571428571429,0.9054335478985234
AD,NN-UTA,3,5,0.6993006993006993,0.8050027639579879,0.5446721682395241,0.5786267338020141
AD,NN-UTA,4,1,0.7674418604651163,0.8677248677248677,0.6786824485891918,0.6710526315789473
AD,NN-UTA,4,2,0.7953488372093023,0.7946737625475944,0.7907125948540962,0.822344755774328
AD,NN-UTA,4,3,0.7953488372093023,0.8316162040930755,0.7416782720297097,0.7239445285876562
AD,NN-UTA,4,4,0.6558139534883721,0.7323454616588418,0.6556277056277056,0.7248674744414995
AD,NN-UTA,4,5,0.8671328671328671,0.8520671834625323,0.8584936778449698,0.8689079422382672
AD,NN-CH,0,1,0.772093023255814,0.7512437810945274,0.7542054548423975,0.7581408557364635
AD,NN-CH,0,2,0.35348837209302325,0.17674418604651163,0.26116838487972505,0.5
AD,NN-CH,0,3,0.7651162790697674,0.8073587859809708,0.6924634787103718,0.6811813706929193
