Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
HCDR,PL,4,4,0.666558336041599,0.6696060483010661,0.6650717002846623,0.6665800584879817
HCDR,PL,4,5,0.6428339291517712,0.6446982726517027,0.6416615617350219,0.6428154079752191
HCDR,NN-UTA,0,1,0.5402858999350227,0.6705427742110757,0.43178910951631294,0.5402858999350227
HCDR,NN-UTA,0,2,0.655833604159896,0.65788313620357,0.6547295180274164,0.6558520512619023
HCDR,NN-UTA,0,3,0.5125121871953201,0.5731681400884052,0.38456061187916024,0.5123640568453837
HCDR,NN-UTA,0,4,0.5407864803379916,0.6386739017640954,0.44212421824206416,0.5406498655249596
HCDR,NN-UTA,0,5,0.5060123496912577,0.5765744116672191,0.35759251302934636,0.5058561915553224
HCDR,NN-UTA,1,1,0.5974658869395711,0.6650937998821422,0.551539836208479,0.5974658869395711
HCDR,NN-UTA,1,2,0.6350341241468963,0.6599015679259392,0.6202055007190932,0.6349699744231262
HCDR,NN-UTA,1,3,0.5050373740656483,0.6678949666994214,0.34692790269649104,0.5051973356789363
HCDR,NN-UTA,1,4,0.5336366590835229,0.6918720157400964,0.4127638459483187,0.5337841605893074
HCDR,NN-UTA,1,5,0.5001624959376015,0.25008124796880077,0.33340554592720967,0.5
HCDR,NN-UTA,2,1,0.5279402209226771,0.6526081542293147,0.40678955056655186,0.527940220922677
HCDR,NN-UTA,2,2,0.49983750406239846,0.24991875203119923,0.33326110509209106,0.5
HCDR,NN-UTA,2,3,0.5128371790705233,0.6685676899057631,0.36621028923416177,0.5126809160356944
HCDR,NN-UTA,2,4,0.5001624959376015,0.75,0.33398268398268394,0.5003248862897985
HCDR,NN-UTA,2,5,0.5323366915827105,0.6538686306688548,0.4175455503459431,0.5324810243592896
HCDR,NN-UTA,3,1,0.5,0.25,0.3333333333333333,0.5
HCDR,NN-UTA,3,2,0.5612609684757881,0.6581855492776816,0.4820976171715257,0.5613880882913347
HCDR,NN-UTA,3,3,0.5112122196945076,0.7389884540903942,0.35804420079568083,0.5110535272342586
HCDR,NN-UTA,3,4,0.6529086772830679,0.6596561235083411,0.6492325939639036,0.6529420164580888
HCDR,NN-UTA,3,5,0.544686382840429,0.6915592504332755,0.4369439564965081,0.5448286045267772
HCDR,NN-UTA,4,1,0.550682261208577,0.6594013916184203,0.458319457952219,0.550682261208577
HCDR,NN-UTA,4,2,0.5034124146896327,0.7508966416693837,0.3405893447598402,0.5032509752925878
HCDR,NN-UTA,4,3,0.5944101397465064,0.6410026411835528,0.5580122096074693,0.5945034647496263
HCDR,NN-UTA,4,4,0.49983750406239846,0.24991875203119923,0.33326110509209106,0.5
HCDR,NN-UTA,4,5,0.49983750406239846,0.24991875203119923,0.33326110509209106,0.5
HCDR,NN-CH,0,1,0.5614035087719298,0.6511921407594148,0.48493260851457104,0.5614035087719298
HCDR,NN-CH,0,2,0.5625609359766006,0.6571894757443477,0.4848642471352892,0.562434779816661
HCDR,NN-CH,0,3,0.5001624959376015,0.25008124796880077,0.33340554592720967,0.5
HCDR,NN-CH,0,4,0.6295092622684433,0.6497534285407075,0.6164868517149842,0.6294494423700729
HCDR,NN-CH,0,5,0.6155346116347091,0.6185546389089469,0.6131017273619417,0.615560447861454
HCDR,NN-CH,1,1,0.6410006497725796,0.6410107112456256,0.640994245779068,0.6410006497725795
HCDR,NN-CH,1,2,0.5427364315892103,0.6571263830450367,0.44075019121383874,0.5425977045875295
HCDR,NN-CH,1,3,0.5619109522261944,0.5810112234238731,0.5346302394819915,0.5619896982740047
HCDR,NN-CH,1,4,0.5495612609684758,0.5982018474284665,0.4861389445557782,0.5496754939412298
HCDR,NN-CH,1,5,0.5030874228144296,0.656985053903953,0.3421283390979026,0.5032482291796051
HCDR,NN-CH,2,1,0.6033138401559455,0.6424940254077397,0.5740328363842234,0.6033138401559454
HCDR,NN-CH,2,2,0.5778355541111472,0.6404818469785575,0.5250264014641033,0.5779439809850687
HCDR,NN-CH,2,3,0.5940851478713032,0.6352222530164124,0.5605506602363359,0.5939954338478282
