Dataset,Model,Seed,Fold,Accuracy,Precision,F1,Recall
BCW,PL,3,3,0.9649122807017544,0.9587662337662337,0.9626596790042581,0.9672619047619048
BCW,PL,3,4,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872
BCW,PL,3,5,0.9557522123893806,0.9482026143790849,0.9532787563053005,0.959926224010731
BCW,PL,4,1,0.9473684210526315,0.9482124958235884,0.9434523809523809,0.9394038650507697
BCW,PL,4,2,0.956140350877193,0.9671052631578947,0.9521289997480474,0.9418604651162791
BCW,PL,4,3,0.9736842105263158,0.9666666666666667,0.9721203228173148,0.9791666666666667
BCW,PL,4,4,0.9736842105263158,0.9697019325253848,0.97186343068696,0.9742063492063492
BCW,PL,4,5,0.9469026548672567,0.9381894873458793,0.9441699604743083,0.9528839704896043
BCW,NN-UTA,0,1,0.9473684210526315,0.9410628019323671,0.9444805194805195,0.9485751719620046
BCW,NN-UTA,0,2,0.9824561403508771,0.9863013698630136,0.9811507936507937,0.9767441860465116
BCW,NN-UTA,0,3,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937
BCW,NN-UTA,0,4,0.9385964912280702,0.929951690821256,0.9349474199070678,0.941468253968254
BCW,NN-UTA,0,5,0.9823008849557522,0.9810529845741114,0.9810529845741114,0.9810529845741114
BCW,NN-UTA,1,1,0.956140350877193,0.9553571428571428,0.9531057178116,0.9510317720275139
BCW,NN-UTA,1,2,0.9824561403508771,0.9863013698630136,0.9811507936507937,0.9767441860465116
BCW,NN-UTA,1,3,0.956140350877193,0.9675324675324675,0.951575906889814,0.9404761904761905
BCW,NN-UTA,1,4,0.8859649122807017,0.8785957315187133,0.8827067669172932,0.9047619047619048
BCW,NN-UTA,1,5,0.9026548672566371,0.8938962681846933,0.8995068315951168,0.9176727028839704
BCW,NN-UTA,2,1,0.956140350877193,0.960472972972973,0.9526381387619443,0.9464461185718964
BCW,NN-UTA,2,2,0.956140350877193,0.9491687979539642,0.9539245008487591,0.9602030789387488
BCW,NN-UTA,2,3,0.9298245614035088,0.9412393162393162,0.9220512820512821,0.9097222222222223
BCW,NN-UTA,2,4,0.9385964912280702,0.9285714285714286,0.9359910162829871,0.9513888888888888
BCW,NN-UTA,2,5,0.9911504424778761,0.9883720930232558,0.9905715477680433,0.9929577464788732
BCW,NN-UTA,3,1,0.9649122807017544,0.9626596790042581,0.9626596790042581,0.9626596790042581
BCW,NN-UTA,3,2,0.9035087719298246,0.8957816377171216,0.9007518796992481,0.9179495578119882
BCW,NN-UTA,3,3,0.9736842105263158,0.9741062479117941,0.9715828832571667,0.9692460317460317
BCW,NN-UTA,3,4,0.9736842105263158,0.98,0.9712773998488284,0.9642857142857143
BCW,NN-UTA,3,5,0.9823008849557522,0.9863013698630136,0.9808604336043361,0.9761904761904762
BCW,NN-UTA,4,1,0.9736842105263158,0.9742063492063492,0.97186343068696,0.9697019325253848
BCW,NN-UTA,4,2,0.9210526315789473,0.9276315789473684,0.9138321995464853,0.9045201441205373
BCW,NN-UTA,4,3,0.9473684210526315,0.9615384615384616,0.9415384615384615,0.9285714285714286
BCW,NN-UTA,4,4,0.8947368421052632,0.8888888888888888,0.8920454545454546,0.9166666666666667
BCW,NN-UTA,4,5,0.8938053097345132,0.8860340479192939,0.8907156673114119,0.9106304493628437
BCW,NN-CH,0,1,0.956140350877193,0.9553571428571428,0.9531057178116,0.9510317720275139
BCW,NN-CH,0,2,0.9824561403508771,0.981329839502129,0.981329839502129,0.981329839502129
BCW,NN-CH,0,3,0.9824561403508771,0.9864864864864865,0.9809555629802873,0.9761904761904762
BCW,NN-CH,0,4,0.631578947368421,0.3157894736842105,0.3870967741935484,0.5
BCW,NN-CH,0,5,0.9646017699115044,0.9733333333333334,0.9613013698630137,0.9523809523809523
BCW,NN-CH,1,1,0.9824561403508771,0.9777777777777779,0.9814935064935065,0.9859154929577465
BCW,NN-CH,1,2,0.9473684210526315,0.961038961038961,0.9422297297297297,0.9302325581395349
BCW,NN-CH,1,3,0.9473684210526315,0.9615384615384616,0.9415384615384615,0.9285714285714286
BCW,NN-CH,1,4,0.9385964912280702,0.9360173738723689,0.933693394266722,0.9315476190476191
BCW,NN-CH,1,5,0.9734513274336283,0.9797297297297297,0.9711366538952746,0.9642857142857143
BCW,NN-CH,2,1,0.9736842105263158,0.9797297297297297,0.9715828832571666,0.9651162790697674
BCW,NN-CH,2,2,0.9649122807017544,0.9733333333333334,0.9619111259605746,0.9534883720930232
BCW,NN-CH,2,3,0.631578947368421,0.3157894736842105,0.3870967741935484,0.5
BCW,NN-CH,2,4,0.9912280701754386,0.9931506849315068,0.9905276277523889,0.9880952380952381
BCW,NN-CH,2,5,0.6283185840707964,0.3141592920353982,0.3858695652173913,0.5
BCW,NN-CH,3,1,0.6228070175438597,0.31140350877192985,0.3837837837837838,0.5
BCW,NN-CH,3,2,0.37719298245614036,0.18859649122807018,0.27388535031847133,0.5
BCW,NN-CH,3,3,0.9649122807017544,0.9587662337662337,0.9626596790042581,0.9672619047619048
BCW,NN-CH,3,4,0.9824561403508771,0.9811507936507937,0.9811507936507937,0.9811507936507937
BCW,NN-CH,3,5,0.9469026548672567,0.9400527009222661,0.943687707641196,0.948021462105969
BCW,NN-CH,4,1,0.9473684210526315,0.961038961038961,0.9422297297297297,0.9302325581395349
BCW,NN-CH,4,2,0.956140350877193,0.9491687979539642,0.9539245008487591,0.9602030789387488
BCW,NN-CH,4,3,0.631578947368421,0.3157894736842105,0.3870967741935484,0.5
BCW,NN-CH,4,4,0.9649122807017544,0.9565217391304348,0.962987012987013,0.9722222222222222
BCW,NN-CH,4,5,0.9557522123893806,0.9671052631578947,0.9513476276586584,0.9404761904761905
