Dataset,Seed,Fold,View,Weight
HCDR,3,1,View_3,0.21898997
HCDR,3,2,View_1,0.41814053
HCDR,3,2,View_2,0.3627261
HCDR,3,2,View_3,0.21913342
HCDR,3,3,View_1,0.42300403
HCDR,3,3,View_2,0.35547614
HCDR,3,3,View_3,0.2215199
HCDR,3,4,View_1,0.4102138
HCDR,3,4,View_2,0.37368888
HCDR,3,4,View_3,0.21609733
HCDR,3,5,View_1,0.40333593
HCDR,3,5,View_2,0.37470052
HCDR,3,5,View_3,0.22196364
HCDR,4,1,View_1,0.41569167
HCDR,4,1,View_2,0.3620915
HCDR,4,1,View_3,0.22221686
HCDR,4,2,View_1,0.40685934
HCDR,4,2,View_2,0.37425002
HCDR,4,2,View_3,0.21889064
HCDR,4,3,View_1,0.41726786
HCDR,4,3,View_2,0.36025462
HCDR,4,3,View_3,0.22247751
HCDR,4,4,View_1,0.4089482
HCDR,4,4,View_2,0.37301153
HCDR,4,4,View_3,0.21804026
HCDR,4,5,View_1,0.422578
HCDR,4,5,View_2,0.3591884
HCDR,4,5,View_3,0.21823359
